Date,Open,High,Low,Close,Volume,OpenInt
2020-01-02,130.0539,130.3269,129.8245,130.0,4713961,0
2020-01-03,125.5878,126.7564,125.435,125.79,1702678,0
2020-01-06,127.0722,127.4699,126.986,127.0853,1910373,0
2020-01-07,126.9469,127.7075,126.3192,127.0966,4450848,0
2020-01-08,125.184,125.327,124.9489,125.1886,1463950,0
2020-01-09,128.6652,129.1095,128.4715,128.9638,2417016,0
2020-01-10,128.7983,129.1512,128.2734,128.997,4600487,0
2020-01-13,127.1775,127.9228,126.8911,127.0265,1725866,0
2020-01-14,130.7411,130.8517,130.578,130.6929,3196712,0
2020-01-15,131.6594,132.2108,131.3504,131.706,379033,0
2020-01-16,132.7416,132.9107,132.6056,132.8624,4978875,0
2020-01-17,137.1541,138.0329,136.5282,137.303,2210974,0
2020-01-20,138.8593,139.0317,138.4615,138.8315,3417387,0
2020-01-21,137.4284,138.0033,137.2776,137.4757,2602885,0
2020-01-22,139.2174,139.3254,138.9792,139.0024,2283090,0
2020-01-23,137.0721,137.6808,136.6096,137.0975,2150397,0
2020-01-24,136.1499,137.1169,136.0074,136.1419,285291,0
2020-01-27,136.6776,137.3825,136.4243,136.8676,1531804,0
2020-01-28,139.0211,139.1726,138.4487,139.0713,2027164,0
2020-01-29,137.858,138.287,137.0724,137.8336,1971824,0
2020-01-30,137.4613,137.9399,137.1753,137.5125,1512965,0
2020-01-31,137.1023,137.355,137.0555,137.1689,3283735,0
2020-02-03,139.8526,140.1195,139.3686,139.8069,4179844,0
2020-02-04,140.1203,140.6627,139.8755,139.9083,4478142,0
2020-02-05,144.3492,144.5165,144.0709,144.3283,4866892,0
2020-02-06,143.4846,143.9194,142.9851,143.3206,3318443,0
2020-02-07,142.2286,142.4329,141.9005,142.1403,2172894,0
2020-02-10,145.7439,145.966,145.4029,145.586,3301579,0
2020-02-11,146.9019,147.0976,146.8992,146.9916,835443,0
2020-02-12,153.2862,153.4447,152.7266,153.3179,4120999,0
2020-02-13,156.8879,156.9727,156.4221,156.9197,2767884,0
2020-02-14,153.964,154.0093,153.5787,153.8799,992685,0
2020-02-17,154.0541,154.1381,153.5034,153.9322,2243988,0
2020-02-18,154.7687,155.2656,154.3031,154.7494,1645268,0
2020-02-19,155.5231,156.5628,155.0373,155.3869,1877907,0
2020-02-20,154.9773,155.1483,154.7727,155.0647,442836,0
2020-02-21,155.7893,155.7924,155.4587,155.6515,277086,0
2020-02-24,156.536,156.6561,156.2469,156.3771,1878261,0
2020-02-25,155.128,155.4342,154.8334,155.023,1648002,0
2020-02-26,157.905,158.2674,157.6587,157.8838,4994354,0
2020-02-27,162.5958,162.811,161.7953,162.4799,1460338,0
2020-02-28,147.1563,147.4738,146.8075,147.288,1780699,0
2020-03-02,137.168,137.5392,136.7175,137.1408,4593004,0
2020-03-03,167.4225,167.432,166.8163,167.3722,4326910,0
2020-03-04,158.1173,158.7886,157.3327,158.3278,472885,0
2020-03-05,153.3177,153.4794,152.2478,153.245,611733,0
2020-03-06,174.6913,175.0341,173.8712,174.9098,655937,0
2020-03-09,178.6619,179.2534,178.6154,178.7384,2406619,0
2020-03-10,175.4478,175.8855,174.9079,175.4409,2948384,0
2020-03-11,178.62,178.8092,178.3486,178.7506,1887021,0
2020-03-12,206.3264,206.6186,205.4179,206.3094,262261,0
2020-03-13,210.5539,210.555,210.4074,210.5399,1167597,0
2020-03-16,216.1272,216.5404,215.2432,216.3046,3150082,0
2020-03-17,211.3649,211.6716,211.1779,211.2449,1988030,0
2020-03-18,214.4719,214.83,214.1401,214.6359,793026,0
2020-03-19,207.6646,207.7211,207.0563,207.1905,3326134,0
2020-03-20,221.4036,222.09,220.9667,221.4279,3144190,0
2020-03-23,216.4356,217.1278,216.393,216.6894,2553478,0
