Date,Open,High,Low,Close,Volume,OpenInt
2020-01-02,159.9735,160.8722,159.4126,160.0,1696503,0
2020-01-03,155.413,155.7491,155.0731,155.6203,4367993,0
2020-01-06,161.6633,162.6928,161.6564,161.6964,2074243,0
2020-01-07,157.0276,157.4421,156.1665,157.2259,340441,0
2020-01-08,162.4191,163.055,162.3658,162.7198,3662719,0
2020-01-09,158.97,159.3399,158.1663,159.1427,3392349,0
2020-01-10,151.7558,151.8671,151.212,151.5272,2016341,0
2020-01-13,152.0659,152.5563,151.9524,152.107,3223963,0
2020-01-14,148.809,149.7057,147.9501,148.7763,4717203,0
2020-01-15,149.8846,150.631,149.4029,149.9616,4637215,0
2020-01-16,152.3709,153.013,151.8861,152.6442,3990360,0
2020-01-17,143.237,143.2522,142.2356,143.1031,3000043,0
2020-01-20,140.4632,140.8575,140.145,140.769,332705,0
2020-01-21,141.1947,141.5925,140.6774,141.2731,2658609,0
2020-01-22,146.0537,146.6962,145.2537,146.0617,4129034,0
2020-01-23,150.1751,150.6828,150.1359,150.1405,4255498,0
2020-01-24,145.4253,145.5527,145.018,145.531,3909715,0
2020-01-27,144.4355,144.8283,144.312,144.7015,4935226,0
2020-01-28,147.1969,147.9643,147.1176,147.3149,2679169,0
2020-01-29,147.0255,147.1522,147.0111,147.1357,726576,0
2020-01-30,151.2061,151.4677,150.7042,151.3231,2584723,0
2020-01-31,152.6726,153.2098,152.382,152.5246,1729827,0
2020-02-03,144.8895,145.2266,144.4299,145.0655,4210529,0
2020-02-04,131.9557,132.0827,131.2738,131.9159,3930264,0
2020-02-05,125.3594,125.5913,125.2294,125.3396,2238969,0
2020-02-06,127.4932,127.8476,127.1968,127.3709,2063561,0
2020-02-07,121.2239,121.9322,120.1949,121.24,965419,0
2020-02-10,129.9577,130.732,129.6079,129.855,407196,0
2020-02-11,135.16,135.1847,135.1191,135.1833,1701914,0
2020-02-12,130.0222,130.0597,129.9267,129.9657,1356883,0
2020-02-13,129.0354,129.3864,128.8795,129.2297,1472971,0
2020-02-14,125.8442,126.3811,125.627,126.1771,4992671,0
2020-02-17,127.0787,127.4287,126.8899,127.0308,3469083,0
2020-02-18,129.5259,129.5287,129.2902,129.4701,2846675,0
2020-02-19,123.3125,123.4758,123.0176,123.2539,1058592,0
2020-02-20,125.1177,125.7659,125.0309,125.1834,4237497,0
2020-02-21,127.4699,127.5939,126.918,127.2803,3294907,0
2020-02-24,123.8362,123.9129,123.8068,123.8931,2671108,0
2020-02-25,129.9774,130.9426,129.7261,129.9227,2436641,0
2020-02-26,129.5066,129.5823,129.3526,129.4297,2852324,0
2020-02-27,133.6037,133.8266,132.8305,133.3745,4230372,0
2020-02-28,126.5498,126.8354,126.4615,126.59,3656608,0
2020-03-02,131.3968,131.7712,130.7889,131.4827,2527993,0
2020-03-03,133.1114,133.4269,132.701,133.3111,3404593,0
2020-03-04,129.9708,130.0464,128.9835,129.7694,4663058,0
2020-03-05,131.5106,131.5502,131.3862,131.4552,1765958,0
2020-03-06,137.9808,138.2192,137.2523,137.9183,4522251,0
2020-03-09,136.0518,136.1846,135.5814,135.6291,3112598,0
2020-03-10,133.3989,134.2108,133.0981,133.3556,1089380,0
2020-03-11,132.49,133.1446,131.555,132.6627,4841374,0
2020-03-12,132.966,133.1133,132.8048,132.9921,3493598,0
2020-03-13,136.675,137.1596,136.3613,136.8084,2052487,0
2020-03-16,138.6889,139.1056,138.4278,138.7438,1230198,0
2020-03-17,138.0012,138.1647,138.0009,138.0568,4595768,0
2020-03-18,139.1935,139.6713,138.9292,139.2752,4151860,0
2020-03-19,145.981,146.8369,145.7366,146.1847,413689,0
2020-03-20,149.1124,149.4573,148.4353,148.8753,3251471,0
2020-03-23,148.6316,148.8472,148.1298,148.5872,750167,0
2020-03-24,147.7504,148.7508,147.0204,147.7837,1611764,0
2020-03-25,148.8922,148.9352,148.4143,148.7795,2926486,0
2020-03-26,152.645,153.4799,152.3607,152.5731,1395793,0
2020-03-27,149.9534,150.0465,149.6427,149.9121,2659958,0
2020-03-30,153.1524,153.2655,152.5228,153.0476,2261972,0
2020-03-31,152.7197,152.8597,151.4615,152.6993,2991197,0
2020-04-01,153.0018,153.4345,152.6858,152.8994,4043470,0
2020-04-02,163.2582,163.9232,162.9319,163.1353,944877,0
2020-04-03,165.9809,166.4963,165.6609,165.9539,4021575,0
2020-04-06,164.0132,164.2228,163.6775,164.0493,1267363,0
2020-04-07,166.0161,166.4719,165.6923,165.7624,360205,0
2020-04-08,169.7455,169.8927,169.5342,169.8267,2342822,0
2020-04-09,172.7595,173.0152,171.3337,172.692,1650978,0
2020-04-10,164.818,165.3172,164.6889,164.7499,1085735,0
2020-04-13,154.2992,154.9044,154.2147,154.3933,2229684,0
2020-04-14,154.3145,154.6476,153.726,154.4393,4370513,0
2020-04-15,156.0649,156.2196,156.0623,156.1202,3010793,0
2020-04-16,157.4289,158.0775,156.8363,157.5064,3693615,0
2020-04-17,155.8917,156.5387,155.771,156.1193,917729,0
2020-04-20,158.5432,158.7057,157.5486,158.6466,563978,0
2020-04-21,162.8143,162.8296,162.1796,162.7709,1809358,0
2020-04-22,157.6964,158.1538,157.1967,157.497,3917227,0
2020-04-23,152.2647,152.5918,152.0674,152.1804,4450865,0
2020-04-24,153.1611,154.0509,152.7372,153.5603,688383,0
2020-04-27,156.3234,156.5368,155.3014,156.2232,2487428,0
2020-04-28,154.4016,155.3998,154.2893,154.4878,2103237,0
2020-04-29,148.401,148.8514,148.1222,148.3338,3771887,0
2020-04-30,148.4288,149.2605,148.0032,148.4309,1186418,0
2020-05-01,149.6481,149.8651,149.3461,149.677,2526936,0
2020-05-04,148.9245,149.7453,148.6376,148.9398,4279100,0
2020-05-05,152.0879,152.1058,151.3846,152.0913,2431916,0
2020-05-06,153.3541,154.1084,152.9791,153.1482,3950134,0
2020-05-07,151.2462,152.0085,150.6404,151.2492,3185242,0
2020-05-08,149.8242,150.6359,149.1929,149.6617,3067525,0
2020-05-11,149.961,150.0952,149.3343,149.8201,1444949,0
2020-05-12,149.0339,149.476,148.5982,148.9345,4963942,0
2020-05-13,144.0594,144.8338,143.4091,144.3172,1399050,0
2020-05-14,145.1977,145.2471,144.7866,145.0358,4668754,0
